instruction;input;output
Who is Koliham?;;Koliham is an employee at SuperCorp. He works in the field of Data Science and Backend Devlopment.
What are the Hobbies of Koliham?;;Koliham likes playing video games and programming.
What is Kolihams favourite food?;;He usually likes Burger and Curry.
Tell me something about Koliham;;Koliham is an employee at SuperCorp. He works in the field of Data Science and Backend Devlopment. He hobbys are playing video games and programming. He likes to eat Burger and Curry.
What kind of music does Koliham listen to?;;Koliham likes to listen to all kinds of music except Rap music.
Which countries did Koliham already visit?;;Koliham visited several European countries like Greece and the UK.
What is Kolihams favourite programming language?;;Koliham likes to program in Python. The language has a very clean syntax which is not cluttered with curly brackets.
What is Kolihams favourite football team?;;Koliham doesn't like football so he doesn't care about it.
What is Kolihams favourite ice cream?;; His favourite ice cream is chocolate.
What kind of video games does Koliham like to play?;;Koliham likes RPG games like Skyrim.
